00> [OTA] seq=254 , [RX] 0x18DA03F1, 2A 30 00 68 C0 F3 00 20
00> [OTA] seq=255 , [RX] 0x18DA03F1, 2B 00 28 F1 D0 20 68 A8
00> [OTA] seq=256 , [RX] 0x18DA03F1, 21 0D 48 00 68 66 F3 10
00> [OTA] seq=257 , [RX] 0x18DA03F1, 22 40 0B 49 08 60 40 46
00> [OTA] seq=258 , [RX] 0x18DA03F1, 23 BD E8 F0 81 00 00 DF
00> [OTA] seq=259 , [RX] 0x18DA03F1, 29 08 04 01 40 40 F2 23
00> [OTA] seq=260 , [RX] 0x18DA03F1, 2A 10 02 49 08 60 43 F2
00> [OTA] seq=261 , [RX] 0x18DA03F1, 2B 10 20 08 60 70 47 00
00> [OTA] seq=262 , [RX] 0x18DA03F1, 21 40 68 10 B1 01 49 48
00> [OTA] seq=263 , [RX] 0x18DA03F1, 22 68 80 47 10 BD 18 80
00> [OTA] seq=264 , [RX] 0x18DA03F1, 23 FF 1F 10 B5 03 48 80
00> [OTA] seq=265 , [RX] 0x18DA03F1, 24 68 10 B1 01 49 88 68
00> [OTA] seq=266 , [RX] 0x18DA03F1, 11 02 36 10 80 47 10 BD
00> [OTA] seq=267 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=268 , [TX] 0x18DAF103, 02 76 10 AA AA AA AA AA (ACK, seq=16)
00> [OTA] seq=269 , [RX] 0x18DA03F1, 21 18 80 FF 1F 10 B5 03
00> [OTA] seq=270 , [RX] 0x18DA03F1, 22 48 C0 68 10 B1 01 49
00> [OTA] seq=271 , [RX] 0x18DA03F1, 28 69 10 B1 01 49 48 69
00> [OTA] seq=272 , [RX] 0x18DA03F1, 29 80 47 10 BD 18 80 FF
00> [OTA] seq=273 , [RX] 0x18DA03F1, 2A 1F 10 B5 03 48 80 69
00> [OTA] seq=274 , [RX] 0x18DA03F1, 2B 10 B1 01 49 88 69 80
00> [OTA] seq=275 , [RX] 0x18DA03F1, 26 48 80 6A 10 B1 01 49
00> [OTA] seq=276 , [RX] 0x18DA03F1, 27 88 6A 80 47 10 BD 18
00> [OTA] seq=277 , [RX] 0x18DA03F1, 28 80 FF 1F 10 B5 03 48
00> [OTA] seq=278 , [RX] 0x18DA03F1, 29 C0 6A 10 B1 01 49 C8
00> [OTA] seq=279 , [RX] 0x18DA03F1, 2F 10 B1 01 49 48 6B 80
00> [OTA] seq=280 , [RX] 0x18DA03F1, 20 47 10 BD 18 80 FF 1F
00> [OTA] seq=281 , [RX] 0x18DA03F1, 21 10 B5 03 48 80 6B 10
